index,title,partner,product_type,enrollment,coursera_subject,FL_category,duration,rating,level
40,How to Manage a Remote Team,GitLab,Course,28k,Business,business_and_management,1-3 Months,4.8,Intermediate
41,Financing and Investing in Infrastructure,Università Bocconi,Course,37k,Business,business_and_management,1-3 Months,4.8,Mixed
42,Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,Course,110k,Business,business_and_management,1-3 Months,4.8,Mixed
43,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,Course,25k,Business,business_and_management,1-3 Months,4.6,Mixed
44,Salesforce Fundamentals,"University of California, Irvine",Specialization,8.1k,Business,business_and_management,1-3 Months,4.4,Beginner
45,Doing more with Google Sheets,Google Cloud,Course,64k,Business,business_and_management,1-3 Months,4.7,Beginner
46,Innovation Management,Erasmus University Rotterdam,Course,73k,Business,business_and_management,1-3 Months,4.7,Beginner
47,Digital Marketing Strategy and Planning,Digital Marketing Institute,Specialization,4.4k,Business,business_and_management,1-3 Months,4.4,Beginner
48,Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,Course,270k,Business,business_and_management,1-3 Months,4.7,Beginner
49,FinTech Law and Policy,Duke University,Course,23k,Business,business_and_management,1-3 Months,4.8,Beginner
50,Auditing I: Conceptual Foundations of Auditing,University of Illinois at Urbana-Champaign,Course,28k,Business,business_and_management,1-3 Months,4.7,Mixed
51,Strategy and Sustainability,IESE Business School,Course,19k,Business,business_and_management,1-3 Months,4.6,Beginner
52,Design Thinking for Innovation,University of Virginia,Course,360k,Business,business_and_management,1-3 Months,4.7,Beginner
53,Financial Accounting Fundamentals,University of Virginia,Course,110k,Business,business_and_management,1-3 Months,4.8,Beginner
54,International Leadership and Organizational Behavior,Università Bocconi,Course,76k,Business,business_and_management,1-3 Months,4.8,Mixed
55,Contabilidad para no contadores,Universidad Nacional Autónoma de México,Course,370k,Business,business_and_management,1-3 Months,4.8,Beginner
56,Excel Skills for Business: Intermediate I,Macquarie University,Course,240k,Business,business_and_management,1-3 Months,4.9,Intermediate
57,"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,Course,56k,Business,business_and_management,1-3 Months,4.8,Beginner
58,Digital Technologies and the Future of Manufacturing,University of Michigan,Specialization,0,Business,business_and_management,1-3 Months,4.9,Beginner
59,Introduction to Financial Accounting: The Accounting Cycle,"University of California, Irvine",Specialization,3.4k,Business,business_and_management,1-3 Months,4.8,Beginner
60,Introduction to Finance: The Basics,University of Illinois at Urbana-Champaign,Course,12k,Business,business_and_management,1-3 Months,4.8,Mixed
61,Agile и Scrum в работе над проектами и продуктами,National Research Tomsk State University,Course,29k,Business,business_and_management,1-3 Months,4.9,Beginner
62,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,Course,45k,Business,business_and_management,1-3 Months,4.6,Intermediate
63,Infrastructure and Application Modernization with Google Cloud,Google Cloud,Course,22k,Business,business_and_management,1-3 Months,4.7,Beginner
64,Construction Project Management,Columbia University,Course,74k,Business,business_and_management,1-3 Months,4.8,Beginner
65,Project Practicum with Multiple Projects,"University of California, Irvine",Course,0,Business,business_and_management,1-3 Months,4.7,Beginner
66,Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,Course,28k,Business,business_and_management,1-3 Months,4.8,Intermediate
67,Applying Data Analytics in Finance,University of Illinois at Urbana-Champaign,Course,15k,Business,business_and_management,1-3 Months,4.5,Intermediate
68,Devenir entrepreneur du changement,HEC Paris,Course,67k,Business,business_and_management,1-3 Months,4.7,Mixed
69,Arts and Heritage Management,Università Bocconi,Course,27k,Business,business_and_management,1-3 Months,4.7,Mixed
70,Introduction to Financial Engineering and Risk Management,Columbia University,Course,3.6k,Business,business_and_management,1-3 Months,4.5,Intermediate
71,Leading transformations: Manage change,Macquarie University,Course,25k,Business,business_and_management,1-3 Months,4.7,Beginner
72,Renewable Energy and Green Building Entrepreneurship,Duke University,Course,57k,Business,business_and_management,1-3 Months,4.7,Beginner
73,Initiating and Planning Projects,"University of California, Irvine",Course,370k,Business,business_and_management,1-3 Months,4.7,Mixed
74,Excel Fundamentals for Data Analysis,Macquarie University,Course,68k,Business,business_and_management,1-3 Months,4.8,Intermediate
75,E-Marketing,"University of California, Irvine",Specialization,4.5k,Business,business_and_management,1-3 Months,4.7,Beginner
76,Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,Course,13k,Business,business_and_management,1-3 Months,4.4,Beginner
77,Credit Risk Management: Frameworks and Strategies,New York Institute of Finance,Course,1.8k,Business,business_and_management,1-3 Months,4.3,Beginner
78,Gestión Empresarial Exitosa para Pymes,Pontificia Universidad Católica de Chile,Course,210k,Business,business_and_management,1-3 Months,4.8,Mixed
79,Advertising with Facebook,Facebook,Course,26k,Business,business_and_management,1-3 Months,4.8,Beginner
80,Keeping up with Change: Issues for the Finance Professional,University of London,Course,15k,Business,business_and_management,1-3 Months,4.7,Mixed
81,Introduction to Risk Management,New York Institute of Finance,Course,3k,Business,business_and_management,1-3 Months,4.6,Beginner
82,Fundamentals of Social Media Advertising,Facebook,Course,31k,Business,business_and_management,1-3 Months,4.8,Beginner
83,Introduction to Public Speaking,University of Washington,Course,200k,Business,business_and_management,1-3 Months,4.8,Beginner
84,Excel Skills for Business: Intermediate II,Macquarie University,Course,140k,Business,business_and_management,1-3 Months,4.8,Intermediate
85,Project Initiation and Planning,University of Illinois at Urbana-Champaign,Course,2.9k,Business,business_and_management,1-3 Months,5,Mixed
86,Auditing II: The Practice of Auditing,University of Illinois at Urbana-Champaign,Course,11k,Business,business_and_management,1-3 Months,4.8,Mixed
87,Financial Planning for Young Adults,University of Illinois at Urbana-Champaign,Course,110k,Business,business_and_management,1-3 Months,4.6,Beginner
88,Accounting for Decision Making,University of Michigan,Course,25k,Business,business_and_management,1-3 Months,4.8,Intermediate
89,How Software Ate Finance,Stanford University,Course,4.5k,Business,business_and_management,1-3 Months,4.9,Mixed
90,Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,Course,150k,Business,business_and_management,1-3 Months,4.8,Mixed
91,Engineering Project Management: Initiating and Planning,Rice University,Course,75k,Business,business_and_management,1-3 Months,4.8,Beginner
92,Finanzas personales,Universidad Nacional Autónoma de México,Course,450k,Business,business_and_management,1-3 Months,4.8,Mixed
93,Теория Лжи. Профайлинг,National Research Tomsk State University,Course,37k,Business,business_and_management,1-3 Months,4.9,Beginner
94,Administração Financeira,Insper,Course,38k,Business,business_and_management,1-3 Months,4.9,Beginner
95,New Technologies for Business Leaders,Rutgers the State University of New Jersey,Course,19k,Business,business_and_management,1-3 Months,4.4,Intermediate
96,"Federal Taxation I: Individuals, Employees, and Sole Proprietors",University of Illinois at Urbana-Champaign,Course,19k,Business,business_and_management,1-3 Months,4.9,Intermediate
97,Основы корпоративных финансов (Fundamentals of Corporate Finance),HSE University,Course,37k,Business,business_and_management,1-3 Months,4.8,Beginner
98,Mastering Final Cut Pro,LearnQuest,Course,27k,Business,business_and_management,1-3 Months,4.5,Beginner
99,Business Transformation with Google Cloud,Google Cloud,Course,32k,Business,business_and_management,1-3 Months,4.7,Beginner
100,Intercultural Management,ESCP Business School,Course,15k,Business,business_and_management,1-3 Months,4.6,Beginner
101,La Disrupción del Blockchain,Universidad Austral,Course,33k,Business,business_and_management,1-3 Months,4.8,Beginner
102,Formal Financial Accounting,University of Illinois at Urbana-Champaign,Course,9.4k,Business,business_and_management,1-3 Months,4.7,Intermediate
103,"Coding for Designers, Managers, and Entrepreneurs",University of Virginia,Specialization,8.8k,Business,business_and_management,1-3 Months,4.1,Beginner
104,Esports,"University of California, Irvine",Specialization,6.5k,Business,business_and_management,1-3 Months,4.6,Beginner
105,Leadership and Critical Thinking,Tecnológico de Monterrey,Specialization,2.1k,Business,business_and_management,1-3 Months,4.2,Advanced
106,Storytelling and influencing: Communicate with impact,Macquarie University,Course,40k,Business,business_and_management,1-3 Months,4.8,Mixed
107,Six Sigma and the Organization (Advanced),University System of Georgia,Course,49k,Business,business_and_management,1-3 Months,4.7,Intermediate
108,Negociações de sucesso: estratégias e habilidades essenciais (em Português),University of Michigan,Course,68k,Business,business_and_management,1-3 Months,4.9,Mixed
109,Supply Chain Management: A Learning Perspective,Korea Advanced Institute of Science and Technology(KAIST),Course,52k,Business,business_and_management,1-3 Months,4.7,Mixed
110,Influencer Marketing Strategy,Rutgers the State University of New Jersey,Course,30k,Business,business_and_management,1-3 Months,4.4,Intermediate
111,Legal Tech and the Digital Transformation of Law,Universidad Austral,Course,3.2k,Business,business_and_management,1-3 Months,5,Beginner
112,Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,Course,59k,Business,business_and_management,1-3 Months,4.7,Mixed
113,Brand Identity and Strategy,IE Business School,Course,38k,Business,business_and_management,1-3 Months,4.7,Intermediate
114,Personal & Family Financial Planning,University of Florida,Course,140k,Business,business_and_management,1-3 Months,4.6,Mixed
115,Liderazgo y habilidades de negociación,Tecnológico de Monterrey,Specialization,1.9k,Business,business_and_management,1-3 Months,4.6,Advanced
116,Excel Skills for Business: Advanced,Macquarie University,Course,130k,Business,business_and_management,1-3 Months,4.7,Intermediate
117,Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,Course,140k,Business,business_and_management,1-3 Months,4.8,Mixed
118,Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,Course,100k,Business,business_and_management,1-3 Months,4.8,Beginner
119,Fundamentos de Finanzas Empresariales,Universidad de los Andes,Course,160k,Business,business_and_management,1-3 Months,4.9,Beginner
120,L'avenir de la décision : connaître et agir en complexité,ESSEC Business School,Course,39k,Business,business_and_management,1-3 Months,4.7,Mixed
121,Системное мышление,Moscow Institute of Physics and Technology,Course,22k,Business,business_and_management,1-3 Months,4.6,Beginner
122,Introduction to Finance: The Role of Financial Markets,University of Illinois at Urbana-Champaign,Course,3.9k,Business,business_and_management,1-3 Months,4.7,Mixed
123,Advanced Financial Reporting: Accounting for Business Combinations and Preparation of Consolidated Financial Statements,University of Illinois at Urbana-Champaign,Course,9.6k,Business,business_and_management,1-3 Months,4.7,Advanced
124,Sales Training for High Performing Teams,HubSpot Academy,Specialization,34k,Business,business_and_management,1-3 Months,4.7,Beginner
125,Les Fondamentaux de la Négociation,ESSEC Business School,Course,19k,Business,business_and_management,1-3 Months,4.8,Beginner
126,El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,Course,25k,Business,business_and_management,1-3 Months,4.9,Beginner
127,Introduction to Data Analytics,Facebook,Course,0,Business,business_and_management,1-3 Months,0,Beginner
128,Sustainable Digital Innovation,EIT Digital,Course,1.6k,Business,business_and_management,1-3 Months,4.6,Intermediate
129,Creating and Developing a Tech Startup,École Polytechnique,Course,20k,Business,business_and_management,1-3 Months,4.1,Mixed
130,Marchés financiers,Yale University,Course,0,Business,business_and_management,1-3 Months,0,Beginner
131,First Steps in Making the Business Case for Sustainability,University of Colorado System,Course,7.6k,Business,business_and_management,1-3 Months,4.7,Beginner
132,Mercados financieros,Yale University,Course,12k,Business,business_and_management,1-3 Months,4.9,Beginner
133,Financial Investment & Risk Management,Peter the Great St. Petersburg Polytechnic University,Course,7k,Business,business_and_management,1-3 Months,4.5,Intermediate
134,Claves para Gestionar Personas,IESE Business School,Course,88k,Business,business_and_management,1-3 Months,4.8,Mixed
135,Developing a Google SRE Culture,Google Cloud,Course,13k,Business,business_and_management,1-3 Months,4.7,Beginner
136,Inspiring Leadership through Emotional Intelligence,Case Western Reserve University,Course,100k,Business,business_and_management,1-3 Months,4.7,Beginner
137,Women in Leadership: Inspiring Positive Change,Case Western Reserve University,Course,27k,Business,business_and_management,1-3 Months,4.7,Mixed
138,Blockchain and Business: Applications and Implications,INSEAD,Course,13k,Business,business_and_management,1-3 Months,4.7,Mixed
139,Wharton Business Foundations Capstone,University of Pennsylvania,Course,4.7k,Business,business_and_management,1-3 Months,4.6,Mixed
140,The Neuromarketing Toolbox,Copenhagen Business School,Course,7.5k,Business,business_and_management,1-3 Months,4.8,Beginner
141,Understanding Financial Statements: Company Position,University of Illinois at Urbana-Champaign,Course,49k,Business,business_and_management,1-3 Months,4.8,Beginner
142,Finance for Non-Financial Managers,Emory University,Course,21k,Business,business_and_management,1-3 Months,4.4,Intermediate
143,Effectuation : l'entrepreneuriat pour tous,emlyon business school,Course,14k,Business,business_and_management,1-3 Months,4.7,Beginner
144,Управление личными финансами,HSE University,Course,46k,Business,business_and_management,1-3 Months,4.8,Mixed
145,Scaling Operations: Linking Strategy and Execution,Northwestern University,Course,16k,Business,business_and_management,1-3 Months,4.5,Mixed
146,Planificación y gestión estratégica para Pymes,Pontificia Universidad Católica de Chile,Course,6.8k,Business,business_and_management,1-3 Months,4.9,Beginner
147,Data Visualization in Excel,Macquarie University,Course,13k,Business,business_and_management,1-3 Months,4.9,Intermediate
148,Herramientas de la Economía Circular,Universidad de los Andes,Course,2.5k,Business,business_and_management,1-3 Months,4.7,Beginner
149,Business Model Canvas: A Tool for Entrepreneurs and Innovators (Project-Centered Course),University System of Georgia,Course,50k,Business,business_and_management,1-3 Months,4.6,Beginner
150,Crédito y cobranza,Universidad Nacional Autónoma de México,Course,5.9k,Business,business_and_management,1-3 Months,4.8,Beginner
151,More Introduction to Financial Accounting,University of Pennsylvania,Course,49k,Business,business_and_management,1-3 Months,4.8,Mixed
152,Procurement Basics,Rutgers the State University of New Jersey,Course,9k,Business,business_and_management,1-3 Months,4.7,Beginner
153,Leading Sustainable Community Transformation,University of Colorado Boulder,Specialization,6.9k,Business,business_and_management,1-3 Months,4.3,Beginner
154,Market Risk Management: Frameworks & Strategies,New York Institute of Finance,Course,0,Business,business_and_management,1-3 Months,4.8,Beginner
155,Types of Conflict,"University of California, Irvine",Course,43k,Business,business_and_management,1-3 Months,4.4,Mixed
156,International Business I,University of New Mexico,Course,44k,Business,business_and_management,1-3 Months,4.7,Mixed
157,Digital Business Models,Lund University,Course,37k,Business,business_and_management,1-3 Months,4.6,Beginner
158,Управление инновационными проектами,Moscow Institute of Physics and Technology,Course,14k,Business,business_and_management,1-3 Months,4.6,Intermediate
159,Leading People and Teams Capstone,University of Michigan,Course,9.9k,Business,business_and_management,1-3 Months,4.8,Mixed
160,Basic Skills in Constructive Communication,Peter the Great St. Petersburg Polytechnic University,Course,9.7k,Business,business_and_management,1-3 Months,4.5,Beginner
161,FoundX Startup School Course,The University of Tokyo,Course,2.1k,Business,business_and_management,1-3 Months,0,Beginner
162,Accounting Analysis I: The Role of Accounting as an Information System,University of Illinois at Urbana-Champaign,Course,26k,Business,business_and_management,1-3 Months,4.8,Intermediate
163,Strategic Management,Copenhagen Business School,Course,89k,Business,business_and_management,1-3 Months,4.8,Mixed
164,Sales Management,Peter the Great St. Petersburg Polytechnic University,Course,9.2k,Business,business_and_management,1-3 Months,4.6,Beginner
165,Modern Supervisor Skills,Institute of Certified Professional Managers,Course,9.2k,Business,business_and_management,1-3 Months,4.7,Beginner
166,Банковское дело и финансы,SberUniversity,Course,20k,Business,business_and_management,1-3 Months,4.7,Intermediate
167,Conflict Transformation,Emory University,Course,32k,Business,business_and_management,1-3 Months,4.8,Beginner
168,Conflict Resolution Skills,"University of California, Irvine",Course,55k,Business,business_and_management,1-3 Months,4.4,Mixed
169,Branding and Customer Experience,IE Business School,Course,18k,Business,business_and_management,1-3 Months,4.6,Intermediate
170,Startup Valuation Methods,Duke University,Course,25k,Business,business_and_management,1-3 Months,4.4,Intermediate
171,"Managing Responsibly: Practicing Sustainability, Responsibility and Ethics",University of Manchester,Course,21k,Business,business_and_management,1-3 Months,4.7,Mixed
172,Costos para los Negocios,Universidad de Chile,Course,64k,Business,business_and_management,1-3 Months,4.8,Intermediate
173,Budgeting and Scheduling Projects,"University of California, Irvine",Course,140k,Business,business_and_management,1-3 Months,4.7,Mixed
174,Term-Structure and Credit Derivatives,Columbia University,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
175,Fundamentos de la gestión del talento humano,UBITS,Course,2.3k,Business,business_and_management,1-3 Months,4.6,Beginner
176,Digital Competition in Financial Services,Copenhagen Business School,Course,28k,Business,business_and_management,1-3 Months,4.6,Beginner
177,Supply Chain Management Strategy,Rutgers the State University of New Jersey,Course,19k,Business,business_and_management,1-3 Months,4.8,Mixed
178,Основы риск-менеджмента в Банке,SberUniversity,Course,12k,Business,business_and_management,1-3 Months,4.7,Beginner
179,Principles of Public Relations,University of Colorado Boulder,Course,0,Business,business_and_management,1-3 Months,4.7,Beginner
180,Цифровой маркетинг для электронной коммерции,Saint Petersburg State University,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
181,Managing Project Risks and Changes,"University of California, Irvine",Course,130k,Business,business_and_management,1-3 Months,4.7,Mixed
182,Competitive Strategy,Ludwig-Maximilians-Universität München (LMU),Course,360k,Business,business_and_management,1-3 Months,4.8,Mixed
183,Multistate Taxation,University of Illinois at Urbana-Champaign,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
184,Project Execution and Control,University of Illinois at Urbana-Champaign,Course,0,Business,business_and_management,1-3 Months,5,Mixed
185,"Introduction to the Nonprofit Sector, Nonprofit Organizations, Nonprofit Leadership and Governance",University at Buffalo,Course,23k,Business,business_and_management,1-3 Months,4.4,Mixed
186,Global Public Procurement,Korea Advanced Institute of Science and Technology(KAIST),Course,2.1k,Business,business_and_management,1-3 Months,4.7,Intermediate
187,Innovative Finance: Hacking finance to change the world,University of Cape Town,Course,9.8k,Business,business_and_management,1-3 Months,4.7,Beginner
188,"Conversations That Inspire: Coaching Learning, Leadership and Change",Case Western Reserve University,Course,31k,Business,business_and_management,1-3 Months,4.7,Mixed
189,Fundamentals of Technology Sales,"University of Maryland, College Park",Course,0,Business,business_and_management,1-3 Months,0,Beginner
190,Bridging the Gap between Strategy Design and Delivery,Brightline Initiative,Course,23k,Business,business_and_management,1-3 Months,4.8,Intermediate
191,Introduction to Business,"University of California, Irvine",Specialization,2.3k,Business,business_and_management,1-3 Months,4.8,Beginner
192,Management of International Development: Towards Agenda 2030,Università Bocconi,Course,2.1k,Business,business_and_management,1-3 Months,4.8,Mixed
193,Global Financing Solutions (by EDHEC and Société Générale),EDHEC Business School,Course,9.1k,Business,business_and_management,1-3 Months,4.7,Intermediate
194,Fundamentals of financial and management accounting,Politecnico di Milano,Course,19k,Business,business_and_management,1-3 Months,4.7,Beginner
195,"Engineering Project Management: Scope, Time and Cost Management",Rice University,Course,37k,Business,business_and_management,1-3 Months,4.8,Beginner
196,Customer Insights: New Product Development Orientation,University of Illinois at Urbana-Champaign,Course,14k,Business,business_and_management,1-3 Months,4.4,Beginner
197,Writing Professional Email and Memos (Project-Centered Course),University System of Georgia,Course,83k,Business,business_and_management,1-3 Months,4.3,Mixed
198,Budgeting essentials and development,Fundação Instituto de Administração,Course,11k,Business,business_and_management,1-3 Months,4.5,Intermediate
199,Challenges of Agribusiness Management,Università Bocconi,Course,8.1k,Business,business_and_management,1-3 Months,4.8,Mixed
200,Hacer negocios en América Latina,Pontificia Universidad Católica de Chile,Specialization,8.5k,Business,business_and_management,1-3 Months,4.8,Beginner
201,Wharton Business and Financial Modeling Capstone,University of Pennsylvania,Course,6.4k,Business,business_and_management,1-3 Months,4.6,Mixed
202,"Autoridad, dirección y liderazgo",Universidad Nacional Autónoma de México,Course,50k,Business,business_and_management,1-3 Months,4.8,Beginner
203,Gestão de Operações,Insper,Course,15k,Business,business_and_management,1-3 Months,4.8,Beginner
204,Taxation of Business Entities I: Corporations,University of Illinois at Urbana-Champaign,Course,8k,Business,business_and_management,1-3 Months,4.7,Intermediate
205,Federal Taxation II: Property Transactions of Business Owners and Shareholders,University of Illinois at Urbana-Champaign,Course,5.6k,Business,business_and_management,1-3 Months,4.9,Intermediate
206,Corporate Finance Essentials,IESE Business School,Course,73k,Business,business_and_management,1-3 Months,4.8,Mixed
207,"Corporate & Commercial Law II: Business Forms, Financing & Governmental Regulation",University of Illinois at Urbana-Champaign,Course,12k,Business,business_and_management,1-3 Months,4.9,Intermediate
208,Анализ данных в Google Таблицах (Google Spreadsheets),National Research Tomsk State University,Course,5.9k,Business,business_and_management,1-3 Months,4.4,Beginner
209,Blockchain Opportunity Analysis,INSEAD,Course,15k,Business,business_and_management,1-3 Months,4.6,Intermediate
210,Storytelling et influence : Communiquer pour convaincre,Macquarie University,Course,0,Business,business_and_management,1-3 Months,4.7,Mixed
211,"Making Successful Decisions through the Strategy, Law & Ethics Model",University of Michigan,Course,27k,Business,business_and_management,1-3 Months,4.8,Beginner
212,Mercados financeiros,Yale University,Course,3.4k,Business,business_and_management,1-3 Months,5,Beginner
213,"Coding for Designers, Managers, & Entrepreneurs I",University of Virginia,Course,8k,Business,business_and_management,1-3 Months,4,Beginner
214,"Основы SMM: тренды, аудитории, платформы",National Research Tomsk State University,Course,20k,Business,business_and_management,1-3 Months,4.4,Beginner
215,Blockchain 360: A State of the Art for Professionals,EIT Digital,Course,6.4k,Business,business_and_management,1-3 Months,4.5,Beginner
216,Computational Methods in Pricing and Model Calibration,Columbia University,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
217,Pricing Options with Mathematical Models,Caltech,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
218,Criação de Startups: Como desenvolver negócios inovadores,Universidade de São Paulo,Course,38k,Business,business_and_management,1-3 Months,4.8,Beginner
219,Conflict and stress management,Saint Petersburg State University,Course,2.4k,Business,business_and_management,1-3 Months,3.9,Mixed
220,Translation quality management,National Research Tomsk State University,Course,12k,Business,business_and_management,1-3 Months,4.3,Beginner
221,Interest Rate Models,École Polytechnique Fédérale de Lausanne,Course,27k,Business,business_and_management,1-3 Months,4.5,Advanced
222,A Business Approach to Sustainable Landscape Restoration,Erasmus University Rotterdam,Course,7.5k,Business,business_and_management,1-3 Months,4.7,Beginner
223,How to Finance and Grow Your Startup – Without VC,University of London,Course,69k,Business,business_and_management,1-3 Months,4.6,Beginner
224,"Financial Statements, SEC Filings and Ratio Analysis",University of Illinois at Urbana-Champaign,Course,0,Business,business_and_management,1-3 Months,0,Mixed
225,Цифровой маркетинг и социальные сети,Peter the Great St. Petersburg Polytechnic University,Course,12k,Business,business_and_management,1-3 Months,4.8,Intermediate
226,Pensamiento de diseño para la innovación,University of Virginia,Course,1.8k,Business,business_and_management,1-3 Months,4.8,Beginner
227,Negotiation skills: Negotiate and resolve conflict,Macquarie University,Course,15k,Business,business_and_management,1-3 Months,4.7,Beginner
228,Бухгалтерский учет и аудит. Продвинутый курс,Saint Petersburg State University,Course,7.6k,Business,business_and_management,1-3 Months,4.5,Mixed
229,Habilidades de Excel para el negocio: Conceptos básicos,Macquarie University,Course,11k,Business,business_and_management,1-3 Months,4.9,Beginner
230,Менеджмент профессиональной траектории,National Research Tomsk State University,Course,7.6k,Business,business_and_management,1-3 Months,4.8,Beginner
231,Conceitos Básicos de Logística e Supply Chain,Universidade Estadual de Campinas,Course,19k,Business,business_and_management,1-3 Months,4.8,Beginner
232,Brand and Product Management,IE Business School,Course,79k,Business,business_and_management,1-3 Months,4.7,Mixed
233,Advanced Topics in Derivative Pricing,Columbia University,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
234,Optimization Methods in Asset Management,Columbia University,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
235,Patrocinio Deportivo,Universitat Autònoma de Barcelona,Course,15k,Business,business_and_management,1-3 Months,4.6,Beginner
