index,title,partner,product_type,enrollment,coursera_subject,FL_category,duration,rating,level
40,Food & Beverage Management,Università Bocconi,Course,97k,Business,business_and_management,1-3 Months,4.8,Mixed
41,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,Course,25k,Business,business_and_management,1-3 Months,4.6,Mixed
42,International Leadership and Organizational Behavior,Università Bocconi,Course,77k,Business,business_and_management,1-3 Months,4.8,Mixed
43,Business Model Innovation,HEC Paris,Course,31k,Business,business_and_management,1-3 Months,4.7,Mixed
44,Devenir entrepreneur du changement,HEC Paris,Course,67k,Business,business_and_management,1-3 Months,4.7,Mixed
45,Sustainable Fashion,Copenhagen Business School,Course,41k,Business,business_and_management,1-3 Months,4.8,Beginner
46,Innovation Management,Erasmus University Rotterdam,Course,73k,Business,business_and_management,1-3 Months,4.7,Beginner
47,Introduction to Finance: The Basics,University of Illinois at Urbana-Champaign,Course,12k,Business,business_and_management,1-3 Months,4.8,Mixed
48,Strategy and Sustainability,IESE Business School,Course,19k,Business,business_and_management,1-3 Months,4.6,Beginner
49,Excel Skills for Business: Intermediate I,Macquarie University,Course,240k,Business,business_and_management,1-3 Months,4.9,Intermediate
50,Digital Marketing Strategy and Planning,Digital Marketing Institute,Specialization,4.6k,Business,business_and_management,1-3 Months,4.4,Beginner
51,Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,Course,270k,Business,business_and_management,1-3 Months,4.7,Beginner
52,Omnichannel Retail Strategy,University of Pennsylvania,Specialization,1.9k,Business,business_and_management,1-3 Months,4.8,Beginner
53,Design Thinking for Innovation,University of Virginia,Course,360k,Business,business_and_management,1-3 Months,4.7,Beginner
54,Doing more with Google Sheets,Google Cloud,Course,64k,Business,business_and_management,1-3 Months,4.7,Beginner
55,Contabilidad para no contadores,Universidad Nacional Autónoma de México,Course,370k,Business,business_and_management,1-3 Months,4.8,Beginner
56,FinTech Law and Policy,Duke University,Course,23k,Business,business_and_management,1-3 Months,4.8,Beginner
57,Financial Accounting Fundamentals,University of Virginia,Course,110k,Business,business_and_management,1-3 Months,4.8,Beginner
58,Introduction to Financial Accounting: The Accounting Cycle,"University of California, Irvine",Specialization,3.5k,Business,business_and_management,1-3 Months,4.8,Beginner
59,Infrastructure and Application Modernization with Google Cloud,Google Cloud,Course,22k,Business,business_and_management,1-3 Months,4.7,Beginner
60,Agile и Scrum в работе над проектами и продуктами,National Research Tomsk State University,Course,30k,Business,business_and_management,1-3 Months,4.9,Beginner
61,Keeping up with Change: Issues for the Finance Professional,University of London,Course,15k,Business,business_and_management,1-3 Months,4.7,Mixed
62,"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,Course,57k,Business,business_and_management,1-3 Months,4.8,Beginner
63,Digital Technologies and the Future of Manufacturing,University of Michigan,Specialization,0,Business,business_and_management,1-3 Months,4.9,Beginner
64,Project Practicum with Multiple Projects,"University of California, Irvine",Course,0,Business,business_and_management,1-3 Months,4.7,Beginner
65,Construction Project Management,Columbia University,Course,74k,Business,business_and_management,1-3 Months,4.8,Beginner
66,Initiating and Planning Projects,"University of California, Irvine",Course,370k,Business,business_and_management,1-3 Months,4.7,Mixed
67,Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,Course,13k,Business,business_and_management,1-3 Months,4.4,Beginner
68,Arts and Heritage Management,Università Bocconi,Course,27k,Business,business_and_management,1-3 Months,4.7,Mixed
69,Excel Fundamentals for Data Analysis,Macquarie University,Course,68k,Business,business_and_management,1-3 Months,4.8,Intermediate
70,Introduction to Financial Engineering and Risk Management,Columbia University,Course,3.7k,Business,business_and_management,1-3 Months,4.5,Intermediate
71,Auditing I: Conceptual Foundations of Auditing,University of Illinois at Urbana-Champaign,Course,28k,Business,business_and_management,1-3 Months,4.7,Mixed
72,Leading transformations: Manage change,Macquarie University,Course,25k,Business,business_and_management,1-3 Months,4.7,Beginner
73,La Disrupción del Blockchain,Universidad Austral,Course,33k,Business,business_and_management,1-3 Months,4.8,Beginner
74,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,Course,45k,Business,business_and_management,1-3 Months,4.6,Intermediate
75,Fundamentals of Social Media Advertising,Facebook,Course,31k,Business,business_and_management,1-3 Months,4.8,Beginner
76,Gestión Empresarial Exitosa para Pymes,Pontificia Universidad Católica de Chile,Course,210k,Business,business_and_management,1-3 Months,4.8,Mixed
77,Accounting for Decision Making,University of Michigan,Course,25k,Business,business_and_management,1-3 Months,4.8,Intermediate
78,Advertising with Facebook,Facebook,Course,27k,Business,business_and_management,1-3 Months,4.8,Beginner
79,Applying Data Analytics in Finance,University of Illinois at Urbana-Champaign,Course,15k,Business,business_and_management,1-3 Months,4.5,Intermediate
80,Finanzas personales,Universidad Nacional Autónoma de México,Course,450k,Business,business_and_management,1-3 Months,4.8,Mixed
81,Intercultural Management,ESCP Business School,Course,15k,Business,business_and_management,1-3 Months,4.6,Beginner
82,Administração Financeira,Insper,Course,38k,Business,business_and_management,1-3 Months,4.9,Beginner
83,Excel Skills for Business: Intermediate II,Macquarie University,Course,150k,Business,business_and_management,1-3 Months,4.8,Intermediate
84,Introduction to Public Speaking,University of Washington,Course,200k,Business,business_and_management,1-3 Months,4.8,Beginner
85,Основы корпоративных финансов (Fundamentals of Corporate Finance),HSE University,Course,37k,Business,business_and_management,1-3 Months,4.8,Beginner
86,Introduction to Risk Management,New York Institute of Finance,Course,3.1k,Business,business_and_management,1-3 Months,4.7,Beginner
87,E-Marketing,"University of California, Irvine",Specialization,4.5k,Business,business_and_management,1-3 Months,4.7,Beginner
88,Esports,"University of California, Irvine",Specialization,6.5k,Business,business_and_management,1-3 Months,4.6,Beginner
89,Advanced Financial Reporting: Accounting for Business Combinations and Preparation of Consolidated Financial Statements,University of Illinois at Urbana-Champaign,Course,9.7k,Business,business_and_management,1-3 Months,4.7,Advanced
90,Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,Course,150k,Business,business_and_management,1-3 Months,4.8,Mixed
91,Renewable Energy and Green Building Entrepreneurship,Duke University,Course,57k,Business,business_and_management,1-3 Months,4.7,Beginner
92,Business Transformation with Google Cloud,Google Cloud,Course,32k,Business,business_and_management,1-3 Months,4.7,Beginner
93,Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,Course,28k,Business,business_and_management,1-3 Months,4.8,Intermediate
94,Credit Risk Management: Frameworks and Strategies,New York Institute of Finance,Course,1.9k,Business,business_and_management,1-3 Months,4.4,Beginner
95,Engineering Project Management: Initiating and Planning,Rice University,Course,75k,Business,business_and_management,1-3 Months,4.8,Beginner
96,New Technologies for Business Leaders,Rutgers the State University of New Jersey,Course,19k,Business,business_and_management,1-3 Months,4.4,Intermediate
97,Sustainable Digital Innovation,EIT Digital,Course,1.7k,Business,business_and_management,1-3 Months,4.6,Intermediate
98,Storytelling and influencing: Communicate with impact,Macquarie University,Course,41k,Business,business_and_management,1-3 Months,4.8,Mixed
99,Теория Лжи. Профайлинг,National Research Tomsk State University,Course,37k,Business,business_and_management,1-3 Months,4.9,Beginner
100,Mastering Final Cut Pro,LearnQuest,Course,27k,Business,business_and_management,1-3 Months,4.5,Beginner
101,Supply Chain Management: A Learning Perspective,Korea Advanced Institute of Science and Technology(KAIST),Course,52k,Business,business_and_management,1-3 Months,4.7,Mixed
102,How Software Ate Finance,Stanford University,Course,4.6k,Business,business_and_management,1-3 Months,4.9,Mixed
103,"Federal Taxation I: Individuals, Employees, and Sole Proprietors",University of Illinois at Urbana-Champaign,Course,19k,Business,business_and_management,1-3 Months,4.9,Intermediate
104,Scaling Operations: Linking Strategy and Execution,Northwestern University,Course,16k,Business,business_and_management,1-3 Months,4.5,Mixed
105,Brand Identity and Strategy,IE Business School,Course,38k,Business,business_and_management,1-3 Months,4.7,Intermediate
106,Legal Tech and the Digital Transformation of Law,Universidad Austral,Course,3.3k,Business,business_and_management,1-3 Months,5,Beginner
107,Project Initiation and Planning,University of Illinois at Urbana-Champaign,Course,3k,Business,business_and_management,1-3 Months,5,Mixed
108,Accounting Analysis I: The Role of Accounting as an Information System,University of Illinois at Urbana-Champaign,Course,26k,Business,business_and_management,1-3 Months,4.8,Intermediate
109,Leadership and Critical Thinking,Tecnológico de Monterrey,Specialization,2.1k,Business,business_and_management,1-3 Months,4.2,Advanced
110,Six Sigma and the Organization (Advanced),University System of Georgia,Course,49k,Business,business_and_management,1-3 Months,4.7,Intermediate
111,Introduction to Data Analytics,Facebook,Course,0,Business,business_and_management,1-3 Months,4.2,Beginner
112,Financial Planning for Young Adults,University of Illinois at Urbana-Champaign,Course,110k,Business,business_and_management,1-3 Months,4.6,Beginner
113,Negociações de sucesso: estratégias e habilidades essenciais (em Português),University of Michigan,Course,68k,Business,business_and_management,1-3 Months,4.9,Mixed
114,Effectuation : l'entrepreneuriat pour tous,emlyon business school,Course,14k,Business,business_and_management,1-3 Months,4.7,Beginner
115,Developing a Google SRE Culture,Google Cloud,Course,13k,Business,business_and_management,1-3 Months,4.7,Beginner
116,Mercados financieros,Yale University,Course,12k,Business,business_and_management,1-3 Months,4.9,Beginner
117,Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,Course,100k,Business,business_and_management,1-3 Months,4.8,Beginner
118,Excel Skills for Business: Advanced,Macquarie University,Course,130k,Business,business_and_management,1-3 Months,4.7,Intermediate
119,El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,Course,25k,Business,business_and_management,1-3 Months,4.9,Beginner
120,Claves para Gestionar Personas,IESE Business School,Course,88k,Business,business_and_management,1-3 Months,4.8,Mixed
121,Fundamentos de Finanzas Empresariales,Universidad de los Andes,Course,160k,Business,business_and_management,1-3 Months,4.9,Beginner
122,Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,Course,59k,Business,business_and_management,1-3 Months,4.7,Mixed
123,Les Fondamentaux de la Négociation,ESSEC Business School,Course,19k,Business,business_and_management,1-3 Months,4.8,Beginner
124,Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,Course,140k,Business,business_and_management,1-3 Months,4.8,Mixed
125,Blockchain and Business: Applications and Implications,INSEAD,Course,13k,Business,business_and_management,1-3 Months,4.7,Mixed
126,Personal & Family Financial Planning,University of Florida,Course,140k,Business,business_and_management,1-3 Months,4.6,Mixed
127,"Coding for Designers, Managers, and Entrepreneurs",University of Virginia,Specialization,8.9k,Business,business_and_management,1-3 Months,4.1,Beginner
128,Creating and Developing a Tech Startup,École Polytechnique,Course,20k,Business,business_and_management,1-3 Months,4.1,Mixed
129,Finance for Non-Financial Managers,Emory University,Course,21k,Business,business_and_management,1-3 Months,4.4,Intermediate
130,Business Model Canvas: A Tool for Entrepreneurs and Innovators (Project-Centered Course),University System of Georgia,Course,50k,Business,business_and_management,1-3 Months,4.6,Beginner
131,Financial Investment & Risk Management,Peter the Great St. Petersburg Polytechnic University,Course,7.1k,Business,business_and_management,1-3 Months,4.5,Intermediate
132,Sales Training for High Performing Teams,HubSpot Academy,Specialization,35k,Business,business_and_management,1-3 Months,4.7,Beginner
133,Data Visualization in Excel,Macquarie University,Course,13k,Business,business_and_management,1-3 Months,4.9,Intermediate
134,Системное мышление,Moscow Institute of Physics and Technology,Course,22k,Business,business_and_management,1-3 Months,4.6,Beginner
135,Wharton Business Foundations Capstone,University of Pennsylvania,Course,4.7k,Business,business_and_management,1-3 Months,4.6,Mixed
136,Управление личными финансами,HSE University,Course,46k,Business,business_and_management,1-3 Months,4.8,Mixed
137,Основы риск-менеджмента в Банке,SberUniversity,Course,12k,Business,business_and_management,1-3 Months,4.7,Beginner
138,First Steps in Making the Business Case for Sustainability,University of Colorado System,Course,7.6k,Business,business_and_management,1-3 Months,4.7,Beginner
139,Planificación y gestión estratégica para Pymes,Pontificia Universidad Católica de Chile,Course,6.9k,Business,business_and_management,1-3 Months,4.9,Beginner
140,Inspiring Leadership through Emotional Intelligence,Case Western Reserve University,Course,100k,Business,business_and_management,1-3 Months,4.7,Beginner
141,Marchés financiers,Yale University,Course,0,Business,business_and_management,1-3 Months,0,Beginner
142,Understanding Financial Statements: Company Position,University of Illinois at Urbana-Champaign,Course,49k,Business,business_and_management,1-3 Months,4.8,Beginner
143,Innovative Finance: Hacking finance to change the world,University of Cape Town,Course,9.8k,Business,business_and_management,1-3 Months,4.7,Beginner
144,Herramientas de la Economía Circular,Universidad de los Andes,Course,2.6k,Business,business_and_management,1-3 Months,4.7,Beginner
145,Market Risk Management: Frameworks & Strategies,New York Institute of Finance,Course,0,Business,business_and_management,1-3 Months,4.8,Beginner
146,Women in Leadership: Inspiring Positive Change,Case Western Reserve University,Course,27k,Business,business_and_management,1-3 Months,4.7,Mixed
147,Startup Valuation Methods,Duke University,Course,25k,Business,business_and_management,1-3 Months,4.4,Intermediate
148,L'avenir de la décision : connaître et agir en complexité,ESSEC Business School,Course,39k,Business,business_and_management,1-3 Months,4.7,Mixed
149,Multistate Taxation,University of Illinois at Urbana-Champaign,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
150,More Introduction to Financial Accounting,University of Pennsylvania,Course,49k,Business,business_and_management,1-3 Months,4.8,Mixed
151,"Making Successful Decisions through the Strategy, Law & Ethics Model",University of Michigan,Course,27k,Business,business_and_management,1-3 Months,4.8,Beginner
152,Budgeting and Scheduling Projects,"University of California, Irvine",Course,140k,Business,business_and_management,1-3 Months,4.7,Mixed
153,Influencer Marketing Strategy,Rutgers the State University of New Jersey,Course,30k,Business,business_and_management,1-3 Months,4.4,Intermediate
154,The Neuromarketing Toolbox,Copenhagen Business School,Course,7.6k,Business,business_and_management,1-3 Months,4.8,Beginner
155,Leading People and Teams Capstone,University of Michigan,Course,10k,Business,business_and_management,1-3 Months,4.8,Mixed
156,Costos para los Negocios,Universidad de Chile,Course,64k,Business,business_and_management,1-3 Months,4.8,Intermediate
157,Fundamentos de la gestión del talento humano,UBITS,Course,2.3k,Business,business_and_management,1-3 Months,4.7,Beginner
158,Excel Power Tools for Data Analysis,Macquarie University,Course,10k,Business,business_and_management,1-3 Months,4.9,Intermediate
159,Управление инновационными проектами,Moscow Institute of Physics and Technology,Course,14k,Business,business_and_management,1-3 Months,4.6,Intermediate
160,Leading Sustainable Community Transformation,University of Colorado Boulder,Specialization,6.9k,Business,business_and_management,1-3 Months,4.3,Beginner
161,"Financial Statements, SEC Filings and Ratio Analysis",University of Illinois at Urbana-Champaign,Course,0,Business,business_and_management,1-3 Months,0,Mixed
162,Global Financing Solutions (by EDHEC and Société Générale),EDHEC Business School,Course,9.1k,Business,business_and_management,1-3 Months,4.7,Intermediate
163,Hacer negocios en América Latina,Pontificia Universidad Católica de Chile,Specialization,8.5k,Business,business_and_management,1-3 Months,4.8,Beginner
164,Crédito y cobranza,Universidad Nacional Autónoma de México,Course,5.9k,Business,business_and_management,1-3 Months,4.8,Beginner
165,FoundX Startup School Course,The University of Tokyo,Course,2.1k,Business,business_and_management,1-3 Months,0,Beginner
166,Liderazgo y habilidades de negociación,Tecnológico de Monterrey,Specialization,2k,Business,business_and_management,1-3 Months,4.6,Advanced
167,Design: Creation of Artifacts in Society,University of Pennsylvania,Course,57k,Business,business_and_management,1-3 Months,4.7,Beginner
168,Sales Management,Peter the Great St. Petersburg Polytechnic University,Course,9.3k,Business,business_and_management,1-3 Months,4.6,Beginner
169,Global Public Procurement,Korea Advanced Institute of Science and Technology(KAIST),Course,2.1k,Business,business_and_management,1-3 Months,4.7,Intermediate
170,Budgeting essentials and development,Fundação Instituto de Administração,Course,11k,Business,business_and_management,1-3 Months,4.5,Intermediate
171,Translation quality management,National Research Tomsk State University,Course,12k,Business,business_and_management,1-3 Months,4.3,Beginner
172,Branding and Customer Experience,IE Business School,Course,19k,Business,business_and_management,1-3 Months,4.6,Intermediate
173,"Managing Responsibly: Practicing Sustainability, Responsibility and Ethics",University of Manchester,Course,21k,Business,business_and_management,1-3 Months,4.7,Mixed
174,Managing Project Risks and Changes,"University of California, Irvine",Course,130k,Business,business_and_management,1-3 Months,4.7,Mixed
175,Procurement Basics,Rutgers the State University of New Jersey,Course,9.1k,Business,business_and_management,1-3 Months,4.7,Beginner
176,Principles of Public Relations,University of Colorado Boulder,Course,0,Business,business_and_management,1-3 Months,4.6,Beginner
177,"Introduction to the Nonprofit Sector, Nonprofit Organizations, Nonprofit Leadership and Governance",University at Buffalo,Course,23k,Business,business_and_management,1-3 Months,4.4,Mixed
178,Цифровой маркетинг для электронной коммерции,Saint Petersburg State University,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
179,Decentralized Finance (DeFi) Opportunities and Risks,Duke University,Course,0,Business,business_and_management,1-3 Months,4.9,Intermediate
180,"Autoridad, dirección y liderazgo",Universidad Nacional Autónoma de México,Course,50k,Business,business_and_management,1-3 Months,4.8,Beginner
181,Federal Taxation II: Property Transactions of Business Owners and Shareholders,University of Illinois at Urbana-Champaign,Course,5.6k,Business,business_and_management,1-3 Months,4.9,Intermediate
182,Auditing II: The Practice of Auditing,University of Illinois at Urbana-Champaign,Course,11k,Business,business_and_management,1-3 Months,4.8,Mixed
183,Formal Financial Accounting,University of Illinois at Urbana-Champaign,Course,9.4k,Business,business_and_management,1-3 Months,4.7,Intermediate
184,Project Execution and Control,University of Illinois at Urbana-Champaign,Course,0,Business,business_and_management,1-3 Months,5,Mixed
185,Conflict and stress management,Saint Petersburg State University,Course,2.5k,Business,business_and_management,1-3 Months,3.6,Mixed
186,Introduction to Business,"University of California, Irvine",Specialization,2.4k,Business,business_and_management,1-3 Months,4.9,Beginner
187,Strategic Management,Copenhagen Business School,Course,89k,Business,business_and_management,1-3 Months,4.8,Mixed
188,Modern Supervisor Skills,Institute of Certified Professional Managers,Course,9.3k,Business,business_and_management,1-3 Months,4.7,Beginner
189,Competitive Strategy,Ludwig-Maximilians-Universität München (LMU),Course,360k,Business,business_and_management,1-3 Months,4.8,Mixed
190,Management of International Development: Towards Agenda 2030,Università Bocconi,Course,2.1k,Business,business_and_management,1-3 Months,4.8,Mixed
191,"Conversations That Inspire: Coaching Learning, Leadership and Change",Case Western Reserve University,Course,31k,Business,business_and_management,1-3 Months,4.7,Mixed
192,Writing Professional Email and Memos (Project-Centered Course),University System of Georgia,Course,83k,Business,business_and_management,1-3 Months,4.3,Mixed
193,Conflict Transformation,Emory University,Course,32k,Business,business_and_management,1-3 Months,4.8,Beginner
194,Цифровой маркетинг и социальные сети,Peter the Great St. Petersburg Polytechnic University,Course,12k,Business,business_and_management,1-3 Months,4.8,Intermediate
195,Types of Conflict,"University of California, Irvine",Course,43k,Business,business_and_management,1-3 Months,4.4,Mixed
196,Basic Skills in Constructive Communication,Peter the Great St. Petersburg Polytechnic University,Course,9.8k,Business,business_and_management,1-3 Months,4.5,Beginner
197,Digital Competition in Financial Services,Copenhagen Business School,Course,28k,Business,business_and_management,1-3 Months,4.6,Beginner
198,Gestão de Operações,Insper,Course,15k,Business,business_and_management,1-3 Months,4.8,Beginner
199,Бухгалтерский учет и аудит. Продвинутый курс,Saint Petersburg State University,Course,7.6k,Business,business_and_management,1-3 Months,4.5,Mixed
200,Менеджмент профессиональной траектории,National Research Tomsk State University,Course,7.6k,Business,business_and_management,1-3 Months,4.8,Beginner
201,Банковское дело и финансы,SberUniversity,Course,20k,Business,business_and_management,1-3 Months,4.7,Intermediate
202,Taxation of Business Entities I: Corporations,University of Illinois at Urbana-Champaign,Course,8k,Business,business_and_management,1-3 Months,4.7,Intermediate
203,Term-Structure and Credit Derivatives,Columbia University,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
204,Mercados financeiros,Yale University,Course,3.4k,Business,business_and_management,1-3 Months,5,Beginner
205,Computational Methods in Pricing and Model Calibration,Columbia University,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
206,Supply Chain Management Strategy,Rutgers the State University of New Jersey,Course,19k,Business,business_and_management,1-3 Months,4.8,Mixed
207,Statistics for Marketing,Facebook,Course,0,Business,business_and_management,1-3 Months,0,Beginner
208,Анализ данных в Google Таблицах (Google Spreadsheets),National Research Tomsk State University,Course,5.9k,Business,business_and_management,1-3 Months,4.4,Beginner
209,Storytelling et influence : Communiquer pour convaincre,Macquarie University,Course,0,Business,business_and_management,1-3 Months,4.7,Mixed
210,Blockchain Opportunity Analysis,INSEAD,Course,15k,Business,business_and_management,1-3 Months,4.6,Intermediate
211,Bridging the Gap between Strategy Design and Delivery,Brightline Initiative,Course,23k,Business,business_and_management,1-3 Months,4.8,Intermediate
212,Doing Business in Russia,Saint Petersburg State University,Course,0,Business,business_and_management,1-3 Months,4.8,Beginner
213,Criação de Startups: Como desenvolver negócios inovadores,Universidade de São Paulo,Course,38k,Business,business_and_management,1-3 Months,4.8,Beginner
214,Brand and Product Management,IE Business School,Course,79k,Business,business_and_management,1-3 Months,4.7,Mixed
215,"Engineering Project Management: Scope, Time and Cost Management",Rice University,Course,37k,Business,business_and_management,1-3 Months,4.8,Beginner
216,Wharton Business and Financial Modeling Capstone,University of Pennsylvania,Course,6.4k,Business,business_and_management,1-3 Months,4.6,Mixed
217,Fundamentals of Technology Sales,"University of Maryland, College Park",Course,0,Business,business_and_management,1-3 Months,0,Beginner
218,International Business I,University of New Mexico,Course,44k,Business,business_and_management,1-3 Months,4.7,Mixed
219,Management of Urban Infrastructures – part 1,École Polytechnique Fédérale de Lausanne,Course,25k,Business,business_and_management,1-3 Months,4.7,Mixed
220,Leading Innovation in Arts and Culture,Vanderbilt University,Course,15k,Business,business_and_management,1-3 Months,4.4,Mixed
221,"Основы SMM: тренды, аудитории, платформы",National Research Tomsk State University,Course,20k,Business,business_and_management,1-3 Months,4.4,Beginner
222,Pricing Options with Mathematical Models,Caltech,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
223,Digital Business Models,Lund University,Course,37k,Business,business_and_management,1-3 Months,4.6,Beginner
224,Taxation of Business Entities II: Pass-Through Entities,University of Illinois at Urbana-Champaign,Course,4.5k,Business,business_and_management,1-3 Months,4.7,Intermediate
225,Optimization Methods in Asset Management,Columbia University,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
226,Conflict Resolution Skills,"University of California, Irvine",Course,56k,Business,business_and_management,1-3 Months,4.4,Mixed
227,Interest Rate Models,École Polytechnique Fédérale de Lausanne,Course,27k,Business,business_and_management,1-3 Months,4.5,Advanced
228,A Business Approach to Sustainable Landscape Restoration,Erasmus University Rotterdam,Course,7.5k,Business,business_and_management,1-3 Months,4.7,Beginner
229,Pensamiento de diseño para la innovación,University of Virginia,Course,1.8k,Business,business_and_management,1-3 Months,4.8,Beginner
230,Financial Modeling,HSE University,Course,5.3k,Business,business_and_management,1-3 Months,4.7,Intermediate
231,Conceitos Básicos de Logística e Supply Chain,Universidade Estadual de Campinas,Course,19k,Business,business_and_management,1-3 Months,4.8,Beginner
232,Fundamentals of digital management,E-Learning Development Fund,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
233,Organization Planning and Development for the 6 σ Black Belt,University System of Georgia,Course,2.6k,Business,business_and_management,1-3 Months,4.6,Mixed
234,Financial Accounting: Foundations,University of Illinois at Urbana-Champaign,Course,99k,Business,business_and_management,1-3 Months,4.7,Mixed
235,The Science of Success: What Researchers Know that You Should Know,University of Michigan,Course,150k,Business,business_and_management,1-3 Months,4.8,Beginner
