,course_title,course_organization,course_Certificate_type,course_students_enrolled,coursera_subject,FL_category,duration,course_rating,course_difficulty
56,Contabilidad para no contadores,Universidad Nacional Autónoma de México,Course,370k,Business,business_and_management,1-3 Months,4.8,Beginner
57,Digital Marketing Strategy and Planning,Digital Marketing Institute,Specialization,4.5k,Business,business_and_management,1-3 Months,4.4,Beginner
58,Introduction to Financial Accounting: The Accounting Cycle,"University of California, Irvine",Specialization,3.4k,Business,business_and_management,1-3 Months,4.8,Beginner
59,"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,Course,56k,Business,business_and_management,1-3 Months,4.8,Beginner
60,Infrastructure and Application Modernization with Google Cloud,Google Cloud,Course,22k,Business,business_and_management,1-3 Months,4.7,Beginner
61,Keeping up with Change: Issues for the Finance Professional,University of London,Course,15k,Business,business_and_management,1-3 Months,4.7,Mixed
62,Digital Technologies and the Future of Manufacturing,University of Michigan,Specialization,0,Business,business_and_management,1-3 Months,4.9,Beginner
63,Agile и Scrum в работе над проектами и продуктами,National Research Tomsk State University,Course,29k,Business,business_and_management,1-3 Months,4.9,Beginner
64,Construction Project Management,Columbia University,Course,74k,Business,business_and_management,1-3 Months,4.8,Beginner
65,Project Practicum with Multiple Projects,"University of California, Irvine",Course,0,Business,business_and_management,1-3 Months,4.7,Beginner
66,Initiating and Planning Projects,"University of California, Irvine",Course,370k,Business,business_and_management,1-3 Months,4.7,Mixed
67,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,Course,45k,Business,business_and_management,1-3 Months,4.6,Intermediate
68,Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,Course,13k,Business,business_and_management,1-3 Months,4.4,Beginner
69,Arts and Heritage Management,Università Bocconi,Course,27k,Business,business_and_management,1-3 Months,4.7,Mixed
70,Excel Fundamentals for Data Analysis,Macquarie University,Course,68k,Business,business_and_management,1-3 Months,4.8,Intermediate
71,Leading transformations: Manage change,Macquarie University,Course,25k,Business,business_and_management,1-3 Months,4.7,Beginner
72,Introduction to Financial Engineering and Risk Management,Columbia University,Course,3.7k,Business,business_and_management,1-3 Months,4.5,Intermediate
73,Auditing I: Conceptual Foundations of Auditing,University of Illinois at Urbana-Champaign,Course,28k,Business,business_and_management,1-3 Months,4.7,Mixed
74,La Disrupción del Blockchain,Universidad Austral,Course,33k,Business,business_and_management,1-3 Months,4.8,Beginner
75,Renewable Energy and Green Building Entrepreneurship,Duke University,Course,57k,Business,business_and_management,1-3 Months,4.7,Beginner
76,Gestión Empresarial Exitosa para Pymes,Pontificia Universidad Católica de Chile,Course,210k,Business,business_and_management,1-3 Months,4.8,Mixed
77,Accounting for Decision Making,University of Michigan,Course,25k,Business,business_and_management,1-3 Months,4.8,Intermediate
78,Excel Skills for Business: Intermediate II,Macquarie University,Course,150k,Business,business_and_management,1-3 Months,4.8,Intermediate
79,Credit Risk Management: Frameworks and Strategies,New York Institute of Finance,Course,1.9k,Business,business_and_management,1-3 Months,4.4,Beginner
80,Applying Data Analytics in Finance,University of Illinois at Urbana-Champaign,Course,15k,Business,business_and_management,1-3 Months,4.5,Intermediate
81,Advertising with Facebook,Facebook,Course,26k,Business,business_and_management,1-3 Months,4.8,Beginner
82,Основы корпоративных финансов (Fundamentals of Corporate Finance),HSE University,Course,37k,Business,business_and_management,1-3 Months,4.8,Beginner
83,Finanzas personales,Universidad Nacional Autónoma de México,Course,450k,Business,business_and_management,1-3 Months,4.8,Mixed
84,Fundamentals of Social Media Advertising,Facebook,Course,31k,Business,business_and_management,1-3 Months,4.8,Beginner
85,Administração Financeira,Insper,Course,38k,Business,business_and_management,1-3 Months,4.9,Beginner
86,Теория Лжи. Профайлинг,National Research Tomsk State University,Course,37k,Business,business_and_management,1-3 Months,4.9,Beginner
87,Introduction to Public Speaking,University of Washington,Course,200k,Business,business_and_management,1-3 Months,4.8,Beginner
88,Mastering Final Cut Pro,LearnQuest,Course,27k,Business,business_and_management,1-3 Months,4.5,Beginner
89,Financial Planning for Young Adults,University of Illinois at Urbana-Champaign,Course,110k,Business,business_and_management,1-3 Months,4.6,Beginner
90,Advanced Financial Reporting: Accounting for Business Combinations and Preparation of Consolidated Financial Statements,University of Illinois at Urbana-Champaign,Course,9.7k,Business,business_and_management,1-3 Months,4.7,Advanced
91,New Technologies for Business Leaders,Rutgers the State University of New Jersey,Course,19k,Business,business_and_management,1-3 Months,4.4,Intermediate
92,How Software Ate Finance,Stanford University,Course,4.6k,Business,business_and_management,1-3 Months,4.9,Mixed
93,Introduction to Risk Management,New York Institute of Finance,Course,3.1k,Business,business_and_management,1-3 Months,4.7,Beginner
