index,title,partner,product_type,enrollment,coursera_subject,FL_category,duration,rating,level
1,Key Technologies for Business,IBM,Specialization,680k,Business,business_and_management,1-3 Months,4.7,Beginner
2,Financial Markets,Yale University,Course,1.1m,Business,business_and_management,1-3 Months,4.8,Beginner
3,Successful Negotiation: Essential Strategies and Skills,University of Michigan,Course,1.1m,Business,business_and_management,1-3 Months,4.8,Mixed
4,"Brand Management: Aligning Business, Brand and Behaviour",University of London,Course,230k,Business,business_and_management,1-3 Months,4.9,Beginner
5,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,Course,400k,Business,business_and_management,1-3 Months,4.9,Mixed
6,Impact Measurement & Management for the SDGs,Duke University,Course,4.2k,Business,business_and_management,1-3 Months,4.9,Mixed
7,Project Planning: Putting It All Together,Google,Course,62k,Business,business_and_management,1-3 Months,4.8,Beginner
8,Private Equity and Venture Capital,Università Bocconi,Course,150k,Business,business_and_management,1-3 Months,4.8,Mixed
9,Introduction to Social Media Marketing,Facebook,Course,150k,Business,business_and_management,1-3 Months,4.9,Beginner
10,Transforming the Fashion Business,"Parsons School of Design, The New School",Specialization,6.1k,Business,business_and_management,1-3 Months,4.7,Intermediate
11,Management of Fashion and Luxury Companies,Università Bocconi,Course,190k,Business,business_and_management,1-3 Months,4.7,Mixed
12,Principles of Sustainable Finance,Erasmus University Rotterdam,Course,24k,Business,business_and_management,1-3 Months,4.7,Intermediate
13,The Strategy of Content Marketing,"University of California, Davis",Course,260k,Business,business_and_management,1-3 Months,4.5,Intermediate
14,Marketing Analytics,University of Virginia,Course,280k,Business,business_and_management,1-3 Months,4.7,Beginner
15,Forensic Accounting and Fraud Examination,West Virginia University,Course,82k,Business,business_and_management,1-3 Months,4.7,Mixed
16,Excel Skills for Business: Essentials,Macquarie University,Course,640k,Business,business_and_management,1-3 Months,4.9,Beginner
17,Supply Chain Principles,Georgia Institute of Technology,Course,60k,Business,business_and_management,1-3 Months,4.6,Mixed
18,Organizational Analysis,Stanford University,Course,100k,Business,business_and_management,1-3 Months,4.6,Beginner
19,Fundamentals of Finance,University of Pennsylvania,Course,38k,Business,business_and_management,1-3 Months,3.9,Beginner
20,Project Planning,"University of California, Irvine",Course,0,Business,business_and_management,1-3 Months,4.8,Beginner
21,Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,Course,20k,Business,business_and_management,1-3 Months,4.8,Beginner
22,Project Execution: Running the Project,Google,Course,46k,Business,business_and_management,1-3 Months,4.8,Beginner
23,Managing the Company of the Future,University of London,Course,96k,Business,business_and_management,1-3 Months,4.8,Mixed
24,Introduction to Blockchain Technologies,INSEAD,Course,47k,Business,business_and_management,1-3 Months,4.8,Beginner
25,Introduction to Marketing,University of Pennsylvania,Course,300k,Business,business_and_management,1-3 Months,4.8,Mixed
26,The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London,Course,84k,Business,business_and_management,1-3 Months,4.6,Mixed
27,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,Course,75k,Business,business_and_management,1-3 Months,4.6,Advanced
28,Finance for Non-Finance Professionals,Rice University,Course,130k,Business,business_and_management,1-3 Months,4.8,Beginner
29,Customer Analytics,University of Pennsylvania,Course,230k,Business,business_and_management,1-3 Months,4.6,Mixed
30,An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,Course,120k,Business,business_and_management,1-3 Months,4.7,Beginner
31,Réussir le Changement,ESSEC Business School,Course,41k,Business,business_and_management,1-3 Months,4.5,Mixed
32,Digital Technologies and the Future of Manufacturing,University of Michigan,Specialization,0,Business,business_and_management,1-3 Months,4.9,Beginner
33,International Organizations Management,University of Geneva,Course,42k,Business,business_and_management,1-3 Months,4.8,Beginner
34,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,Course,25k,Business,business_and_management,1-3 Months,4.6,Mixed
35,Marketing Digital,Universidade de São Paulo,Course,150k,Business,business_and_management,1-3 Months,4.8,Beginner
36,AI For Everyone （すべての人のためのAIリテラシー講座）,DeepLearning.AI,Course,15k,Business,business_and_management,1-3 Months,4.8,Beginner
37,Introduction to Finance: The Basics,University of Illinois at Urbana-Champaign,Course,12k,Business,business_and_management,1-3 Months,4.8,Mixed
38,Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,Course,110k,Business,business_and_management,1-3 Months,4.8,Mixed
39,Food & Beverage Management,Università Bocconi,Course,97k,Business,business_and_management,1-3 Months,4.8,Mixed
40,International Leadership and Organizational Behavior,Università Bocconi,Course,77k,Business,business_and_management,1-3 Months,4.8,Mixed
41,Sports Marketing,Northwestern University,Course,25k,Business,business_and_management,1-3 Months,4.7,Intermediate
42,Innovation Management,Erasmus University Rotterdam,Course,73k,Business,business_and_management,1-3 Months,4.7,Beginner
43,Auditing I: Conceptual Foundations of Auditing,University of Illinois at Urbana-Champaign,Course,28k,Business,business_and_management,1-3 Months,4.7,Mixed
44,Salesforce Fundamentals,"University of California, Irvine",Specialization,8.4k,Business,business_and_management,1-3 Months,4.4,Beginner
45,Sustainable Fashion,Copenhagen Business School,Course,41k,Business,business_and_management,1-3 Months,4.8,Beginner
46,Financing and Investing in Infrastructure,Università Bocconi,Course,37k,Business,business_and_management,1-3 Months,4.8,Mixed
47,Digital Marketing Strategy and Planning,Digital Marketing Institute,Specialization,4.7k,Business,business_and_management,1-3 Months,4.4,Beginner
48,Devenir entrepreneur du changement,HEC Paris,Course,67k,Business,business_and_management,1-3 Months,4.7,Mixed
49,Excel Skills for Business: Intermediate I,Macquarie University,Course,240k,Business,business_and_management,1-3 Months,4.9,Intermediate
50,Omnichannel Retail Strategy,University of Pennsylvania,Specialization,2k,Business,business_and_management,1-3 Months,4.8,Beginner
51,Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,Course,270k,Business,business_and_management,1-3 Months,4.7,Beginner
52,Business Model Innovation,HEC Paris,Course,31k,Business,business_and_management,1-3 Months,4.7,Mixed
53,Agile и Scrum в работе над проектами и продуктами,National Research Tomsk State University,Course,30k,Business,business_and_management,1-3 Months,4.9,Beginner
54,Strategy and Sustainability,IESE Business School,Course,19k,Business,business_and_management,1-3 Months,4.6,Beginner
55,Keeping up with Change: Issues for the Finance Professional,University of London,Course,15k,Business,business_and_management,1-3 Months,4.7,Mixed
56,Infrastructure and Application Modernization with Google Cloud,Google Cloud,Course,22k,Business,business_and_management,1-3 Months,4.7,Beginner
57,How to Manage a Remote Team,GitLab,Course,29k,Business,business_and_management,1-3 Months,4.8,Intermediate
58,Contabilidad para no contadores,Universidad Nacional Autónoma de México,Course,370k,Business,business_and_management,1-3 Months,4.8,Beginner
59,FinTech Law and Policy,Duke University,Course,23k,Business,business_and_management,1-3 Months,4.8,Beginner
60,Design Thinking for Innovation,University of Virginia,Course,360k,Business,business_and_management,1-3 Months,4.7,Beginner
61,Doing more with Google Sheets,Google Cloud,Course,65k,Business,business_and_management,1-3 Months,4.7,Beginner
62,Financial Accounting Fundamentals,University of Virginia,Course,110k,Business,business_and_management,1-3 Months,4.8,Beginner
63,Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,Course,13k,Business,business_and_management,1-3 Months,4.4,Beginner
64,Initiating and Planning Projects,"University of California, Irvine",Course,370k,Business,business_and_management,1-3 Months,4.7,Mixed
65,Introduction to Financial Accounting: The Accounting Cycle,"University of California, Irvine",Specialization,3.5k,Business,business_and_management,1-3 Months,4.8,Beginner
66,Project Execution,"University of California, Irvine",Course,0,Business,business_and_management,1-3 Months,4.3,Beginner
67,Project Practicum with Multiple Projects,"University of California, Irvine",Course,0,Business,business_and_management,1-3 Months,4.7,Beginner
68,Construction Project Management,Columbia University,Course,75k,Business,business_and_management,1-3 Months,4.8,Beginner
69,Project Launch,"University of California, Irvine",Course,0,Business,business_and_management,1-3 Months,4.7,Beginner
70,"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,Course,57k,Business,business_and_management,1-3 Months,4.8,Beginner
71,Excel Fundamentals for Data Analysis,Macquarie University,Course,68k,Business,business_and_management,1-3 Months,4.8,Intermediate
72,Introduction to Financial Engineering and Risk Management,Columbia University,Course,3.8k,Business,business_and_management,1-3 Months,4.5,Intermediate
73,Leading transformations: Manage change,Macquarie University,Course,26k,Business,business_and_management,1-3 Months,4.7,Beginner
74,Gestión Empresarial Exitosa para Pymes,Pontificia Universidad Católica de Chile,Course,210k,Business,business_and_management,1-3 Months,4.8,Mixed
75,Business Transformation with Google Cloud,Google Cloud,Course,32k,Business,business_and_management,1-3 Months,4.7,Beginner
76,Arts and Heritage Management,Università Bocconi,Course,27k,Business,business_and_management,1-3 Months,4.7,Mixed
77,Accounting for Decision Making,University of Michigan,Course,25k,Business,business_and_management,1-3 Months,4.8,Intermediate
78,Advertising with Facebook,Facebook,Course,27k,Business,business_and_management,1-3 Months,4.8,Beginner
79,Finanzas personales,Universidad Nacional Autónoma de México,Course,450k,Business,business_and_management,1-3 Months,4.8,Mixed
80,Fundamentals of Social Media Advertising,Facebook,Course,32k,Business,business_and_management,1-3 Months,4.8,Beginner
81,La Disrupción del Blockchain,Universidad Austral,Course,33k,Business,business_and_management,1-3 Months,4.8,Beginner
82,Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,Course,28k,Business,business_and_management,1-3 Months,4.8,Intermediate
83,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,Course,45k,Business,business_and_management,1-3 Months,4.6,Intermediate
84,Основы корпоративных финансов (Fundamentals of Corporate Finance),HSE University,Course,37k,Business,business_and_management,1-3 Months,4.8,Beginner
85,Esports,"University of California, Irvine",Specialization,6.5k,Business,business_and_management,1-3 Months,4.6,Beginner
86,Renewable Energy and Green Building Entrepreneurship,Duke University,Course,58k,Business,business_and_management,1-3 Months,4.7,Beginner
87,Excel Skills for Business: Intermediate II,Macquarie University,Course,150k,Business,business_and_management,1-3 Months,4.8,Intermediate
88,Advanced Financial Reporting: Accounting for Business Combinations and Preparation of Consolidated Financial Statements,University of Illinois at Urbana-Champaign,Course,9.7k,Business,business_and_management,1-3 Months,4.7,Advanced
89,How Software Ate Finance,Stanford University,Course,4.6k,Business,business_and_management,1-3 Months,4.9,Mixed
90,Introduction to Public Speaking,University of Washington,Course,200k,Business,business_and_management,1-3 Months,4.8,Beginner
91,Intercultural Management,ESCP Business School,Course,15k,Business,business_and_management,1-3 Months,4.6,Beginner
92,Теория Лжи. Профайлинг,National Research Tomsk State University,Course,37k,Business,business_and_management,1-3 Months,4.9,Beginner
93,Sustainable Digital Innovation,EIT Digital,Course,1.7k,Business,business_and_management,1-3 Months,4.6,Intermediate
94,E-Marketing,"University of California, Irvine",Specialization,4.5k,Business,business_and_management,1-3 Months,4.7,Beginner
95,Legal Tech and the Digital Transformation of Law,Universidad Austral,Course,3.3k,Business,business_and_management,1-3 Months,5,Beginner
96,Introduction to Risk Management,New York Institute of Finance,Course,3.2k,Business,business_and_management,1-3 Months,4.7,Beginner
97,Supply Chain Management: A Learning Perspective,Korea Advanced Institute of Science and Technology(KAIST),Course,52k,Business,business_and_management,1-3 Months,4.7,Mixed
98,Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,Course,150k,Business,business_and_management,1-3 Months,4.8,Mixed
99,Developing a Google SRE Culture,Google Cloud,Course,13k,Business,business_and_management,1-3 Months,4.7,Beginner
100,"Federal Taxation I: Individuals, Employees, and Sole Proprietors",University of Illinois at Urbana-Champaign,Course,20k,Business,business_and_management,1-3 Months,4.9,Intermediate
101,New Technologies for Business Leaders,Rutgers the State University of New Jersey,Course,19k,Business,business_and_management,1-3 Months,4.4,Intermediate
102,Brand Identity and Strategy,IE Business School,Course,38k,Business,business_and_management,1-3 Months,4.7,Intermediate
103,Scaling Operations: Linking Strategy and Execution,Northwestern University,Course,17k,Business,business_and_management,1-3 Months,4.5,Mixed
104,Introduction to Data Analytics,Facebook,Course,0,Business,business_and_management,1-3 Months,3.7,Beginner
105,Engineering Project Management: Initiating and Planning,Rice University,Course,75k,Business,business_and_management,1-3 Months,4.8,Beginner
106,Storytelling and influencing: Communicate with impact,Macquarie University,Course,41k,Business,business_and_management,1-3 Months,4.8,Mixed
107,Innovative Finance: Hacking finance to change the world,University of Cape Town,Course,9.9k,Business,business_and_management,1-3 Months,4.7,Beginner
108,Accounting Analysis I: The Role of Accounting as an Information System,University of Illinois at Urbana-Champaign,Course,26k,Business,business_and_management,1-3 Months,4.8,Intermediate
109,Mercados financieros,Yale University,Course,12k,Business,business_and_management,1-3 Months,4.9,Beginner
110,Leadership and Critical Thinking,Tecnológico de Monterrey,Specialization,2.2k,Business,business_and_management,1-3 Months,4.2,Advanced
111,Credit Risk Management: Frameworks and Strategies,New York Institute of Finance,Course,1.9k,Business,business_and_management,1-3 Months,4.4,Beginner
112,Administração Financeira,Insper,Course,38k,Business,business_and_management,1-3 Months,4.9,Beginner
113,Claves para Gestionar Personas,IESE Business School,Course,88k,Business,business_and_management,1-3 Months,4.8,Mixed
114,Six Sigma and the Organization (Advanced),University System of Georgia,Course,49k,Business,business_and_management,1-3 Months,4.7,Intermediate
115,Negociações de sucesso: estratégias e habilidades essenciais (em Português),University of Michigan,Course,68k,Business,business_and_management,1-3 Months,4.9,Mixed
116,"Coding for Designers, Managers, and Entrepreneurs",University of Virginia,Specialization,8.9k,Business,business_and_management,1-3 Months,4.1,Beginner
117,Excel Skills for Business: Advanced,Macquarie University,Course,130k,Business,business_and_management,1-3 Months,4.7,Intermediate
118,Personal & Family Financial Planning,University of Florida,Course,140k,Business,business_and_management,1-3 Months,4.6,Mixed
119,Business Model Canvas: A Tool for Entrepreneurs and Innovators (Project-Centered Course),University System of Georgia,Course,50k,Business,business_and_management,1-3 Months,4.6,Beginner
120,Global Financing Solutions (by EDHEC and Société Générale),EDHEC Business School,Course,9.2k,Business,business_and_management,1-3 Months,4.7,Intermediate
