index,title,partner,product_type,enrollment,coursera_subject,FL_category,duration,rating,level
121,Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,Course,59k,Business,business_and_management,1-3 Months,4.7,Mixed
122,Fundamentos de Finanzas Empresariales,Universidad de los Andes,Course,160k,Business,business_and_management,1-3 Months,4.9,Beginner
123,Project Initiation and Planning,University of Illinois at Urbana-Champaign,Course,3k,Business,business_and_management,1-3 Months,4.8,Mixed
124,Applying Data Analytics in Finance,University of Illinois at Urbana-Champaign,Course,15k,Business,business_and_management,1-3 Months,4.5,Intermediate
125,Les Fondamentaux de la Négociation,ESSEC Business School,Course,19k,Business,business_and_management,1-3 Months,4.8,Beginner
126,Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,Course,140k,Business,business_and_management,1-3 Months,4.8,Mixed
127,El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,Course,25k,Business,business_and_management,1-3 Months,4.9,Beginner
128,Effectuation : l'entrepreneuriat pour tous,emlyon business school,Course,14k,Business,business_and_management,1-3 Months,4.7,Beginner
129,Planificación y gestión estratégica para Pymes,Pontificia Universidad Católica de Chile,Course,6.9k,Business,business_and_management,1-3 Months,4.9,Beginner
130,Liderazgo y habilidades de negociación,Tecnológico de Monterrey,Specialization,2k,Business,business_and_management,1-3 Months,4.6,Advanced
131,Financial Planning for Young Adults,University of Illinois at Urbana-Champaign,Course,110k,Business,business_and_management,1-3 Months,4.6,Beginner
132,L'avenir de la décision : connaître et agir en complexité,ESSEC Business School,Course,39k,Business,business_and_management,1-3 Months,4.7,Mixed
133,Data Visualization in Excel,Macquarie University,Course,13k,Business,business_and_management,1-3 Months,4.9,Intermediate
134,Sales Training for High Performing Teams,HubSpot Academy,Specialization,35k,Business,business_and_management,1-3 Months,4.7,Beginner
135,Blockchain and Business: Applications and Implications,INSEAD,Course,13k,Business,business_and_management,1-3 Months,4.7,Mixed
136,Wharton Business Foundations Capstone,University of Pennsylvania,Course,4.8k,Business,business_and_management,1-3 Months,4.6,Mixed
137,Decentralized Finance (DeFi) Opportunities and Risks,Duke University,Course,0,Business,business_and_management,1-3 Months,4.9,Intermediate
138,Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,Course,100k,Business,business_and_management,1-3 Months,4.8,Beginner
139,Основы риск-менеджмента в Банке,SberUniversity,Course,12k,Business,business_and_management,1-3 Months,4.7,Beginner
140,First Steps in Making the Business Case for Sustainability,University of Colorado System,Course,7.6k,Business,business_and_management,1-3 Months,4.7,Beginner
141,Leading Sustainable Community Transformation,University of Colorado Boulder,Specialization,7k,Business,business_and_management,1-3 Months,4.3,Beginner
142,Basic Skills in Constructive Communication,Peter the Great St. Petersburg Polytechnic University,Course,9.8k,Business,business_and_management,1-3 Months,4.5,Beginner
143,Startup Valuation Methods,Duke University,Course,25k,Business,business_and_management,1-3 Months,4.5,Intermediate
144,Системное мышление,Moscow Institute of Physics and Technology,Course,22k,Business,business_and_management,1-3 Months,4.6,Beginner
145,Finance for Non-Financial Managers,Emory University,Course,21k,Business,business_and_management,1-3 Months,4.4,Intermediate
146,Budgeting and Scheduling Projects,"University of California, Irvine",Course,140k,Business,business_and_management,1-3 Months,4.7,Mixed
147,Managing Project Risks and Changes,"University of California, Irvine",Course,130k,Business,business_and_management,1-3 Months,4.7,Mixed
148,Market Risk Management: Frameworks & Strategies,New York Institute of Finance,Course,0,Business,business_and_management,1-3 Months,4.8,Beginner
149,Inspiring Leadership through Emotional Intelligence,Case Western Reserve University,Course,100k,Business,business_and_management,1-3 Months,4.7,Beginner
150,Understanding Financial Statements: Company Position,University of Illinois at Urbana-Champaign,Course,49k,Business,business_and_management,1-3 Months,4.8,Beginner
151,"Managing Responsibly: Practicing Sustainability, Responsibility and Ethics",University of Manchester,Course,21k,Business,business_and_management,1-3 Months,4.7,Mixed
152,Управление личными финансами,HSE University,Course,46k,Business,business_and_management,1-3 Months,4.8,Mixed
153,More Introduction to Financial Accounting,University of Pennsylvania,Course,49k,Business,business_and_management,1-3 Months,4.8,Mixed
154,"Making Successful Decisions through the Strategy, Law & Ethics Model",University of Michigan,Course,27k,Business,business_and_management,1-3 Months,4.8,Beginner
155,Storytelling et influence : Communiquer pour convaincre,Macquarie University,Course,0,Business,business_and_management,1-3 Months,4.7,Mixed
156,The Neuromarketing Toolbox,Copenhagen Business School,Course,7.6k,Business,business_and_management,1-3 Months,4.8,Beginner
157,Sales Management,Peter the Great St. Petersburg Polytechnic University,Course,9.3k,Business,business_and_management,1-3 Months,4.6,Beginner
158,Women in Leadership: Inspiring Positive Change,Case Western Reserve University,Course,27k,Business,business_and_management,1-3 Months,4.7,Mixed
159,Herramientas de la Economía Circular,Universidad de los Andes,Course,2.6k,Business,business_and_management,1-3 Months,4.7,Beginner
160,Modern Supervisor Skills,Institute of Certified Professional Managers,Course,9.3k,Business,business_and_management,1-3 Months,4.7,Beginner
161,Управление инновационными проектами,Moscow Institute of Physics and Technology,Course,14k,Business,business_and_management,1-3 Months,4.6,Intermediate
162,"Financial Statements, SEC Filings and Ratio Analysis",University of Illinois at Urbana-Champaign,Course,0,Business,business_and_management,1-3 Months,0,Mixed
163,Marchés financiers,Yale University,Course,0,Business,business_and_management,1-3 Months,0,Beginner
164,Crédito y cobranza,Universidad Nacional Autónoma de México,Course,5.9k,Business,business_and_management,1-3 Months,4.8,Beginner
165,Creating and Developing a Tech Startup,École Polytechnique,Course,20k,Business,business_and_management,1-3 Months,4.1,Mixed
166,Design: Creation of Artifacts in Society,University of Pennsylvania,Course,57k,Business,business_and_management,1-3 Months,4.7,Beginner
167,International Business I,University of New Mexico,Course,44k,Business,business_and_management,1-3 Months,4.7,Mixed
168,Procurement Basics,Rutgers the State University of New Jersey,Course,9.1k,Business,business_and_management,1-3 Months,4.7,Beginner
169,Supply Chain Management Strategy,Rutgers the State University of New Jersey,Course,20k,Business,business_and_management,1-3 Months,4.8,Mixed
170,Excel Power Tools for Data Analysis,Macquarie University,Course,10k,Business,business_and_management,1-3 Months,4.9,Intermediate
171,Mastering Final Cut Pro,LearnQuest,Course,27k,Business,business_and_management,1-3 Months,4.5,Beginner
172,Influencer Marketing Strategy,Rutgers the State University of New Jersey,Course,30k,Business,business_and_management,1-3 Months,4.4,Intermediate
173,Types of Conflict,"University of California, Irvine",Course,43k,Business,business_and_management,1-3 Months,4.4,Mixed
174,Fundamentals of Technology Sales,"University of Maryland, College Park",Course,0,Business,business_and_management,1-3 Months,0,Beginner
175,Financial Investment & Risk Management,Peter the Great St. Petersburg Polytechnic University,Course,7.2k,Business,business_and_management,1-3 Months,4.5,Intermediate
176,Costos para los Negocios,Universidad de Chile,Course,64k,Business,business_and_management,1-3 Months,4.8,Intermediate
177,Бухгалтерский учет и аудит. Продвинутый курс,Saint Petersburg State University,Course,7.6k,Business,business_and_management,1-3 Months,4.5,Mixed
178,Introduction to Business,"University of California, Irvine",Specialization,2.5k,Business,business_and_management,1-3 Months,4.8,Beginner
179,Fundamentos de la gestión del talento humano,UBITS,Course,2.3k,Business,business_and_management,1-3 Months,4.7,Beginner
180,Criação de Startups: Como desenvolver negócios inovadores,Universidade de São Paulo,Course,38k,Business,business_and_management,1-3 Months,4.8,Beginner
181,Auditing II: The Practice of Auditing,University of Illinois at Urbana-Champaign,Course,11k,Business,business_and_management,1-3 Months,4.8,Mixed
182,Formal Financial Accounting,University of Illinois at Urbana-Champaign,Course,9.5k,Business,business_and_management,1-3 Months,4.7,Intermediate
183,Project Execution and Control,University of Illinois at Urbana-Champaign,Course,0,Business,business_and_management,1-3 Months,5,Mixed
184,The Science of Success: What Researchers Know that You Should Know,University of Michigan,Course,150k,Business,business_and_management,1-3 Months,4.8,Beginner
185,Customer Insights: New Product Development Orientation,University of Illinois at Urbana-Champaign,Course,14k,Business,business_and_management,1-3 Months,4.4,Beginner
186,Conflict and stress management,Saint Petersburg State University,Course,2.5k,Business,business_and_management,1-3 Months,3.6,Mixed
187,Principles of Public Relations,University of Colorado Boulder,Course,0,Business,business_and_management,1-3 Months,4.6,Beginner
188,Management of International Development: Towards Agenda 2030,Università Bocconi,Course,2.1k,Business,business_and_management,1-3 Months,4.8,Mixed
189,Writing Professional Email and Memos (Project-Centered Course),University System of Georgia,Course,84k,Business,business_and_management,1-3 Months,4.3,Mixed
190,Conflict Transformation,Emory University,Course,32k,Business,business_and_management,1-3 Months,4.8,Beginner
191,Hacer negocios en América Latina,Pontificia Universidad Católica de Chile,Specialization,8.5k,Business,business_and_management,1-3 Months,4.8,Beginner
192,Digital Competition in Financial Services,Copenhagen Business School,Course,28k,Business,business_and_management,1-3 Months,4.6,Beginner
193,"Introduction to the Nonprofit Sector, Nonprofit Organizations, Nonprofit Leadership and Governance",University at Buffalo,Course,23k,Business,business_and_management,1-3 Months,4.4,Mixed
194,Statistics for Marketing,Facebook,Course,0,Business,business_and_management,1-3 Months,0,Beginner
195,Branding and Customer Experience,IE Business School,Course,19k,Business,business_and_management,1-3 Months,4.6,Intermediate
196,FoundX Startup School Course,The University of Tokyo,Course,2.1k,Business,business_and_management,1-3 Months,0,Beginner
197,Entrepreneurial Strategic Management,University of New Mexico,Course,9.4k,Business,business_and_management,1-3 Months,4.6,Mixed
198,Brand and Product Management,IE Business School,Course,79k,Business,business_and_management,1-3 Months,4.7,Mixed
199,Менеджмент профессиональной траектории,National Research Tomsk State University,Course,7.6k,Business,business_and_management,1-3 Months,4.8,Beginner
200,Банковское дело и финансы,SberUniversity,Course,20k,Business,business_and_management,1-3 Months,4.7,Intermediate
201,Mercados financeiros,Yale University,Course,3.5k,Business,business_and_management,1-3 Months,5,Beginner
202,Computational Methods in Pricing and Model Calibration,Columbia University,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
203,"Conversations That Inspire: Coaching Learning, Leadership and Change",Case Western Reserve University,Course,31k,Business,business_and_management,1-3 Months,4.7,Mixed
204,Strategic Management,Copenhagen Business School,Course,89k,Business,business_and_management,1-3 Months,4.8,Mixed
205,Multistate Taxation,University of Illinois at Urbana-Champaign,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
206,Bridging the Gap between Strategy Design and Delivery,Brightline Initiative,Course,23k,Business,business_and_management,1-3 Months,4.8,Intermediate
207,Doing Business in Russia,Saint Petersburg State University,Course,0,Business,business_and_management,1-3 Months,4.8,Beginner
208,Анализ данных в Google Таблицах (Google Spreadsheets),National Research Tomsk State University,Course,5.9k,Business,business_and_management,1-3 Months,4.4,Beginner
209,Цифровой маркетинг для электронной коммерции,Saint Petersburg State University,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
210,Financial Modeling,HSE University,Course,5.4k,Business,business_and_management,1-3 Months,4.7,Intermediate
211,Global Public Procurement,Korea Advanced Institute of Science and Technology(KAIST),Course,2.1k,Business,business_and_management,1-3 Months,4.7,Intermediate
212,Term-Structure and Credit Derivatives,Columbia University,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
213,Pricing Options with Mathematical Models,Caltech,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
214,Federal Taxation II: Property Transactions of Business Owners and Shareholders,University of Illinois at Urbana-Champaign,Course,5.6k,Business,business_and_management,1-3 Months,4.9,Intermediate
215,Taxation of Business Entities I: Corporations,University of Illinois at Urbana-Champaign,Course,8k,Business,business_and_management,1-3 Months,4.7,Intermediate
216,Optimization Methods in Asset Management,Columbia University,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
217,Budgeting essentials and development,Fundação Instituto de Administração,Course,11k,Business,business_and_management,1-3 Months,4.5,Intermediate
218,Translation quality management,National Research Tomsk State University,Course,12k,Business,business_and_management,1-3 Months,4.3,Beginner
219,Conflict Resolution Skills,"University of California, Irvine",Course,56k,Business,business_and_management,1-3 Months,4.4,Mixed
220,Interest Rate Models,École Polytechnique Fédérale de Lausanne,Course,27k,Business,business_and_management,1-3 Months,4.5,Advanced
221,A Business Approach to Sustainable Landscape Restoration,Erasmus University Rotterdam,Course,7.5k,Business,business_and_management,1-3 Months,4.7,Beginner
222,Competitive Strategy,Ludwig-Maximilians-Universität München (LMU),Course,360k,Business,business_and_management,1-3 Months,4.8,Mixed
223,Derivatives - Options & Futures,Interactive Brokers,Course,5.2k,Business,business_and_management,1-3 Months,4.6,Intermediate
224,"Основы SMM: тренды, аудитории, платформы",National Research Tomsk State University,Course,20k,Business,business_and_management,1-3 Months,4.4,Beginner
225,Blockchain Opportunity Analysis,INSEAD,Course,15k,Business,business_and_management,1-3 Months,4.6,Intermediate
226,صياغة الأفكار المحفِّزة على الابتكار,University of Virginia,Course,8.2k,Business,business_and_management,1-3 Months,4.8,Beginner
227,Pensamiento de diseño para la innovación,University of Virginia,Course,1.8k,Business,business_and_management,1-3 Months,4.8,Beginner
228,Цифровой маркетинг и социальные сети,Peter the Great St. Petersburg Polytechnic University,Course,12k,Business,business_and_management,1-3 Months,4.8,Intermediate
229,Financial Accounting: Foundations,University of Illinois at Urbana-Champaign,Course,99k,Business,business_and_management,1-3 Months,4.7,Mixed
230,Gestão de Operações,Insper,Course,15k,Business,business_and_management,1-3 Months,4.8,Beginner
231,"Engineering Project Management: Scope, Time and Cost Management",Rice University,Course,37k,Business,business_and_management,1-3 Months,4.8,Beginner
232,Wharton Business and Financial Modeling Capstone,University of Pennsylvania,Course,6.4k,Business,business_and_management,1-3 Months,4.6,Mixed
233,Fundamentals of digital management,E-Learning Development Fund,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
234,"Coding for Designers, Managers, & Entrepreneurs I",University of Virginia,Course,8k,Business,business_and_management,1-3 Months,4,Beginner
235,Taxation of Business Entities II: Pass-Through Entities,University of Illinois at Urbana-Champaign,Course,4.5k,Business,business_and_management,1-3 Months,4.7,Intermediate
236,Organization Planning and Development for the 6 σ Black Belt,University System of Georgia,Course,2.7k,Business,business_and_management,1-3 Months,4.7,Mixed
